"V1" "V2"
"1" "aHIP-rh" "Subcortical"
"2" "pHIP-rh" "Subcortical"
"3" "lAMY-rh" "Subcortical"
"4" "mAMY-rh" "Subcortical"
"5" "THA-DP-rh" "Subcortical"
"6" "THA-VP-rh" "Subcortical"
"7" "THA-VA-rh" "Subcortical"
"8" "THA-DA-rh" "Subcortical"
"9" "NAc-shell-rh" "Subcortical"
"10" "NAc-core-rh" "Subcortical"
"11" "pGP-rh" "Subcortical"
"12" "aGP-rh" "Subcortical"
"13" "aPUT-rh" "Subcortical"
"14" "pPUT-rh" "Subcortical"
"15" "aCAU-rh" "Subcortical"
"16" "pCAU-rh" "Subcortical"
"17" "aHIP-lh" "Subcortical"
"18" "pHIP-lh" "Subcortical"
"19" "lAMY-lh" "Subcortical"
"20" "mAMY-lh" "Subcortical"
"21" "THA-DP-lh" "Subcortical"
"22" "THA-VP-lh" "Subcortical"
"23" "THA-VA-lh" "Subcortical"
"24" "THA-DA-lh" "Subcortical"
"25" "NAc-shell-lh" "Subcortical"
"26" "NAc-core-lh" "Subcortical"
"27" "pGP-lh" "Subcortical"
"28" "aGP-lh" "Subcortical"
"29" "aPUT-lh" "Subcortical"
"30" "pPUT-lh" "Subcortical"
"31" "aCAU-lh" "Subcortical"
"32" "pCAU-lh" "Subcortical"
"33" "R_V1_ROI" "Visual1"
"34" "R_MST_ROI" "Visual2"
"35" "R_V6_ROI" "Visual2"
"36" "R_V2_ROI" "Visual2"
"37" "R_V3_ROI" "Visual2"
"38" "R_V4_ROI" "Visual2"
"39" "R_V8_ROI" "Visual2"
"40" "R_4_ROI" "Somatomotor"
"41" "R_3b_ROI" "Somatomotor"
"42" "R_FEF_ROI" "Cingulo-Opercular"
"43" "R_PEF_ROI" "Cingulo-Opercular"
"44" "R_55b_ROI" "Language"
"45" "R_V3A_ROI" "Visual2"
"46" "R_RSC_ROI" "Frontoparietal"
"47" "R_POS2_ROI" "Frontoparietal"
"48" "R_V7_ROI" "Visual2"
"49" "R_IPS1_ROI" "Visual2"
"50" "R_FFC_ROI" "Visual2"
"51" "R_V3B_ROI" "Visual2"
"52" "R_LO1_ROI" "Visual2"
"53" "R_LO2_ROI" "Visual2"
"54" "R_PIT_ROI" "Visual2"
"55" "R_MT_ROI" "Visual2"
"56" "R_A1_ROI" "Auditory"
"57" "R_PSL_ROI" "Cingulo-Opercular"
"58" "R_SFL_ROI" "Language"
"59" "R_PCV_ROI" "Posterior-Multimodal"
"60" "R_STV_ROI" "Posterior-Multimodal"
"61" "R_7Pm_ROI" "Frontoparietal"
"62" "R_7m_ROI" "Default"
"63" "R_POS1_ROI" "Default"
"64" "R_23d_ROI" "Default"
"65" "R_v23ab_ROI" "Default"
"66" "R_d23ab_ROI" "Default"
"67" "R_31pv_ROI" "Default"
"68" "R_5m_ROI" "Somatomotor"
"69" "R_5mv_ROI" "Cingulo-Opercular"
"70" "R_23c_ROI" "Cingulo-Opercular"
"71" "R_5L_ROI" "Somatomotor"
"72" "R_24dd_ROI" "Somatomotor"
"73" "R_24dv_ROI" "Somatomotor"
"74" "R_7AL_ROI" "Somatomotor"
"75" "R_SCEF_ROI" "Cingulo-Opercular"
"76" "R_6ma_ROI" "Cingulo-Opercular"
"77" "R_7Am_ROI" "Cingulo-Opercular"
"78" "R_7PL_ROI" "Dorsal-Attention"
"79" "R_7PC_ROI" "Somatomotor"
"80" "R_LIPv_ROI" "Visual2"
"81" "R_VIP_ROI" "Visual2"
"82" "R_MIP_ROI" "Dorsal-Attention"
"83" "R_1_ROI" "Somatomotor"
"84" "R_2_ROI" "Somatomotor"
"85" "R_3a_ROI" "Somatomotor"
"86" "R_6d_ROI" "Somatomotor"
"87" "R_6mp_ROI" "Somatomotor"
"88" "R_6v_ROI" "Somatomotor"
"89" "R_p24pr_ROI" "Cingulo-Opercular"
"90" "R_33pr_ROI" "Frontoparietal"
"91" "R_a24pr_ROI" "Cingulo-Opercular"
"92" "R_p32pr_ROI" "Cingulo-Opercular"
"93" "R_a24_ROI" "Default"
"94" "R_d32_ROI" "Frontoparietal"
"95" "R_8BM_ROI" "Frontoparietal"
"96" "R_p32_ROI" "Default"
"97" "R_10r_ROI" "Default"
"98" "R_47m_ROI" "Default"
"99" "R_8Av_ROI" "Default"
"100" "R_8Ad_ROI" "Default"
"101" "R_9m_ROI" "Default"
"102" "R_8BL_ROI" "Default"
"103" "R_9p_ROI" "Default"
"104" "R_10d_ROI" "Default"
"105" "R_8C_ROI" "Frontoparietal"
"106" "R_44_ROI" "Frontoparietal"
"107" "R_45_ROI" "Language"
"108" "R_47l_ROI" "Default"
"109" "R_a47r_ROI" "Frontoparietal"
"110" "R_6r_ROI" "Cingulo-Opercular"
"111" "R_IFJa_ROI" "Language"
"112" "R_IFJp_ROI" "Frontoparietal"
